Epsiode Cummulative Reward: 2.6226043701171875e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 391.2313231229782, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 695.0844091773033, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 5968.376799762249, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 5656.902912974358, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2714.272383272648, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 559.9813336133957, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 413.89924424886703, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 658.208950817585, Episode Timestpes: 572,
Epsiode Cummulative Reward: 549.0159510970116, Episode Timestpes: 411,
Epsiode Cummulative Reward: 395.4291269183159, Episode Timestpes: 4452,
Epsiode Cummulative Reward: 557.4106878638268, Episode Timestpes: 352,
Epsiode Cummulative Reward: 1.3887882232666016e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 574.2001757621765, Episode Timestpes: 3071,
Epsiode Cummulative Reward: 534.7947719693184, Episode Timestpes: 515,
Epsiode Cummulative Reward: 1973.7872939109802, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -4.291534423828125e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 611.9764640927315, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 188.05967605113983, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2179.4775944948196, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1669.869389116764, Episode Timestpes: 3537,
Epsiode Cummulative Reward: 1635.4477419257164, Episode Timestpes: 1755,
Epsiode Cummulative Reward: 2218.9365442991257, Episode Timestpes: 871,
Epsiode Cummulative Reward: 2114.8320775032043, Episode Timestpes: 2847,
Epsiode Cummulative Reward: 445.80222564935684, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 406.34326070547104, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1636.2872986197472, Episode Timestpes: 1133,
Epsiode Cummulative Reward: 2225.6529471874237, Episode Timestpes: 1239,
Epsiode Cummulative Reward: 2242.444017469883, Episode Timestpes: 1381,
Epsiode Cummulative Reward: 2225.6530034542084, Episode Timestpes: 1388,
Epsiode Cummulative Reward: 2839.365658223629, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1760.541031718254, Episode Timestpes: 463,
Epsiode Cummulative Reward: 2584.1417768597603, Episode Timestpes: 2599,
Epsiode Cummulative Reward: 1816.7910677790642, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 567.5373156070709, Episode Timestpes: 370,
Epsiode Cummulative Reward: 589.3656736016273, Episode Timestpes: 529,
Epsiode Cummulative Reward: 2207.182813167572, Episode Timestpes: 2153,
Epsiode Cummulative Reward: 515.4851246476173, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 522.2014915347099, Episode Timestpes: 251,
Epsiode Cummulative Reward: 514.6455231308937, Episode Timestpes: 350,
Epsiode Cummulative Reward: 497.0149213671684, Episode Timestpes: 93,
Epsiode Cummulative Reward: 552.4253685474396, Episode Timestpes: 204,
Epsiode Cummulative Reward: 484.42163813114166, Episode Timestpes: 171,
Epsiode Cummulative Reward: 482.74253368377686, Episode Timestpes: 166,
Epsiode Cummulative Reward: 504.57089138031006, Episode Timestpes: 94,
Epsiode Cummulative Reward: 495.3358169198036, Episode Timestpes: 93,
Epsiode Cummulative Reward: 413.8992492556572, Episode Timestpes: 154,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 920.9887954592705, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 703.5447671413422, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 579.2910625338554, Episode Timestpes: 4500,
