Epsiode Cummulative Reward: 889.9253461956978, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.430511474609375e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2766.32459795475, Episode Timestpes: 4199,
Epsiode Cummulative Reward: 2159.328332066536, Episode Timestpes: 2614,
Epsiode Cummulative Reward: 1.0788440704345703e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 121.72371417284012, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1040.2052027583122, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 460.91417771577835, Episode Timestpes: 2755,
Epsiode Cummulative Reward: 697.6028329133987, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.0728836059570312e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 448.32089018821716, Episode Timestpes: 1339,
Epsiode Cummulative Reward: 455.8768585920334, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 466.7474926710129, Episode Timestpes: 3006,
Epsiode Cummulative Reward: -4.0531158447265625e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 536.4738771319389, Episode Timestpes: 2733,
Epsiode Cummulative Reward: 95.70895510911942, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 100.74626678228378, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 780.7107183933258, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 701.8656392097473, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 671.5791379213333, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1119.1231179833412, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 25.18655616044998, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 344.1842911839485, Episode Timestpes: 4275,
Epsiode Cummulative Reward: 677.4554281830788, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -4.231929779052734e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 778.2649047374725, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 711.100728392601, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.8477439880371094e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 123.41416776180267, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 711.0343930125237, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 416.41790449619293, Episode Timestpes: 1746,
Epsiode Cummulative Reward: 301.37107890844345, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1643.0037145614624, Episode Timestpes: 2666,
Epsiode Cummulative Reward: 59.608204901218414, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 240.11193472146988, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 92.35074305534363, Episode Timestpes: 4500,
